Chave,Titulo,Data Criacao,Data Mudanca,Status Antigo,Status Novo,Autor
BF3E4-1914,[CLIENTE - 42] Assunto: Hub Cart e Hub User (Parte 6) - TAMANHO: P,2026-03-09T12:08:48.508-0300,2026-03-17T18:57:00.309-0300,IN REFINEMENT,Refined,willian.santos
BF3E4-1914,[CLIENTE - 42] Assunto: Hub Cart e Hub User (Parte 6) - TAMANHO: P,2026-03-09T12:08:48.508-0300,2026-03-17T18:56:56.592-0300,WAITING REFINEMENT,IN REFINEMENT,willian.santos
BF3E4-1914,[CLIENTE - 42] Assunto: Hub Cart e Hub User (Parte 6) - TAMANHO: P,2026-03-09T12:08:48.508-0300,2026-03-17T18:56:43.172-0300,Open,WAITING REFINEMENT,willian.santos
BF3E4-1912,[CLIENTE - 41] Assunto: Relacionamento Cliente (Parte 4) - TAMANHO: M,2026-03-09T12:08:31.367-0300,2026-03-17T18:56:17.988-0300,IN REFINEMENT,Refined,willian.santos
BF3E4-1912,[CLIENTE - 41] Assunto: Relacionamento Cliente (Parte 4) - TAMANHO: M,2026-03-09T12:08:31.367-0300,2026-03-17T18:56:15.307-0300,WAITING REFINEMENT,IN REFINEMENT,willian.santos
BF3E4-1912,[CLIENTE - 41] Assunto: Relacionamento Cliente (Parte 4) - TAMANHO: M,2026-03-09T12:08:31.367-0300,2026-03-17T18:56:12.577-0300,Open,WAITING REFINEMENT,willian.santos
BF3E4-1907,[CLIENTE - 40] Assunto: Dados Públicos CNPJ - Target & Views (Parte 4) - TAMANHO: P,2026-03-09T12:08:17.223-0300,2026-03-17T18:55:45.469-0300,IN REFINEMENT,Refined,willian.santos
BF3E4-1907,[CLIENTE - 40] Assunto: Dados Públicos CNPJ - Target & Views (Parte 4) - TAMANHO: P,2026-03-09T12:08:17.223-0300,2026-03-17T18:55:43.109-0300,WAITING REFINEMENT,IN REFINEMENT,willian.santos
BF3E4-1907,[CLIENTE - 40] Assunto: Dados Públicos CNPJ - Target & Views (Parte 4) - TAMANHO: P,2026-03-09T12:08:17.223-0300,2026-03-17T18:55:40.845-0300,Open,WAITING REFINEMENT,willian.santos
BF3E4-1899,[CLIENTE - 39] Assunto: Dados Públicos CNPJ - Staging (Parte 3) - TAMANHO: M,2026-03-09T12:08:01.711-0300,2026-03-17T18:55:10.614-0300,IN REFINEMENT,Refined,willian.santos
BF3E4-1899,[CLIENTE - 39] Assunto: Dados Públicos CNPJ - Staging (Parte 3) - TAMANHO: M,2026-03-09T12:08:01.711-0300,2026-03-17T18:55:07.849-0300,WAITING REFINEMENT,IN REFINEMENT,willian.santos
BF3E4-1899,[CLIENTE - 39] Assunto: Dados Públicos CNPJ - Staging (Parte 3) - TAMANHO: M,2026-03-09T12:08:01.711-0300,2026-03-17T18:55:04.713-0300,Open,WAITING REFINEMENT,willian.santos
BF3E4-1897,[CLIENTE - 38] Assunto: Marketing Cloud - Target & Views (Parte 4) - TAMANHO: P,2026-03-09T12:07:48.933-0300,2026-03-17T18:54:31.529-0300,IN REFINEMENT,Refined,willian.santos
BF3E4-1897,[CLIENTE - 38] Assunto: Marketing Cloud - Target & Views (Parte 4) - TAMANHO: P,2026-03-09T12:07:48.933-0300,2026-03-17T18:54:29.377-0300,WAITING REFINEMENT,IN REFINEMENT,willian.santos
BF3E4-1897,[CLIENTE - 38] Assunto: Marketing Cloud - Target & Views (Parte 4) - TAMANHO: P,2026-03-09T12:07:48.933-0300,2026-03-17T18:54:27.007-0300,Open,WAITING REFINEMENT,willian.santos
BF3E4-1886,[CLIENTE - 37] Assunto: EDI - SSH/FTP On-Premise (Parte 3) - TAMANHO: G,2026-03-09T12:07:24.839-0300,2026-03-17T18:53:56.307-0300,IN REFINEMENT,Refined,willian.santos
BF3E4-1886,[CLIENTE - 37] Assunto: EDI - SSH/FTP On-Premise (Parte 3) - TAMANHO: G,2026-03-09T12:07:24.839-0300,2026-03-17T18:53:53.658-0300,WAITING REFINEMENT,IN REFINEMENT,willian.santos
BF3E4-1886,[CLIENTE - 37] Assunto: EDI - SSH/FTP On-Premise (Parte 3) - TAMANHO: G,2026-03-09T12:07:24.839-0300,2026-03-17T18:53:50.947-0300,Open,WAITING REFINEMENT,willian.santos
BF3E4-1872,[CLIENTE - 36] Assunto: EDI - SSH/FTP On-Premise (Parte 2) - TAMANHO: G,2026-03-09T12:06:59.515-0300,2026-03-17T18:53:19.585-0300,IN REFINEMENT,Refined,willian.santos
BF3E4-1872,[CLIENTE - 36] Assunto: EDI - SSH/FTP On-Premise (Parte 2) - TAMANHO: G,2026-03-09T12:06:59.515-0300,2026-03-17T18:53:17.032-0300,WAITING REFINEMENT,IN REFINEMENT,willian.santos
BF3E4-1872,[CLIENTE - 36] Assunto: EDI - SSH/FTP On-Premise (Parte 2) - TAMANHO: G,2026-03-09T12:06:59.515-0300,2026-03-17T18:53:14.388-0300,Open,WAITING REFINEMENT,willian.santos
BF3E4-1866,[CLIENTE - 35] Assunto: EDI - Staging Salesforce e Venda Direta (Parte 1) - TAMANHO: P,2026-03-09T12:06:41.381-0300,2026-03-17T18:52:39.199-0300,IN REFINEMENT,Refined,willian.santos
BF3E4-1866,[CLIENTE - 35] Assunto: EDI - Staging Salesforce e Venda Direta (Parte 1) - TAMANHO: P,2026-03-09T12:06:41.381-0300,2026-03-17T18:52:36.677-0300,WAITING REFINEMENT,IN REFINEMENT,willian.santos
BF3E4-1866,[CLIENTE - 35] Assunto: EDI - Staging Salesforce e Venda Direta (Parte 1) - TAMANHO: P,2026-03-09T12:06:41.381-0300,2026-03-17T18:52:34.186-0300,Open,WAITING REFINEMENT,willian.santos
BF3E4-1852,[CLIENTE - 34] Assunto: API - Carga Diária e Integrações - TAMANHO: G,2026-03-09T12:06:13.009-0300,2026-03-17T18:52:03.263-0300,IN REFINEMENT,Refined,willian.santos
BF3E4-1852,[CLIENTE - 34] Assunto: API - Carga Diária e Integrações - TAMANHO: G,2026-03-09T12:06:13.009-0300,2026-03-17T18:52:00.548-0300,WAITING REFINEMENT,IN REFINEMENT,willian.santos
BF3E4-1852,[CLIENTE - 34] Assunto: API - Carga Diária e Integrações - TAMANHO: G,2026-03-09T12:06:13.009-0300,2026-03-17T18:51:56.682-0300,Open,WAITING REFINEMENT,willian.santos
BF3E4-1841,[CLIENTE - 33] Assunto: EDI - Envio CCDB (Parte 2) - TAMANHO: G,2026-03-09T12:05:49.422-0300,2026-03-17T18:57:19.683-0300,IN REFINEMENT,Refined,willian.santos
BF3E4-1841,[CLIENTE - 33] Assunto: EDI - Envio CCDB (Parte 2) - TAMANHO: G,2026-03-09T12:05:49.422-0300,2026-03-17T18:51:15.814-0300,WAITING REFINEMENT,IN REFINEMENT,willian.santos
