Chave,Titulo,Data Criacao,Data Mudanca,Status Antigo,Status Novo,Autor
BF3E4-2063,[1] DAG - data-lake-commercial-carga-analytics-proprietario-vendas-entrevista-fca,2026-03-10T18:47:54.756-0300,2026-03-26T23:20:08.542-0300,Open,In progress,lucivan.batista
BF3E4-2033,[1] DAG - data-lake-commercial-carga-dm-proprietario-vendas-cabecalho-entrevista-fca,2026-03-10T18:47:05.671-0300,2026-03-26T09:55:52.654-0300,To Do,In progress,henrique.damaceno
BF3E4-2033,[1] DAG - data-lake-commercial-carga-dm-proprietario-vendas-cabecalho-entrevista-fca,2026-03-10T18:47:05.671-0300,2026-03-26T09:55:47.867-0300,In progress,To Do,henrique.damaceno
BF3E4-2033,[1] DAG - data-lake-commercial-carga-dm-proprietario-vendas-cabecalho-entrevista-fca,2026-03-10T18:47:05.671-0300,2026-03-26T09:55:15.334-0300,Open,In progress,henrique.damaceno
BF3E4-2020,[1] DAG - data-lake-commercial-carga-dm-proprietario-vendas-pergunta-fca,2026-03-10T18:46:45.506-0300,2026-03-26T09:53:57.884-0300,Open,In progress,henrique.damaceno
BF3E4-2007,1.2 DataMart_CSIProprietarioBR.tb_csiproprietario_metadata,2026-03-10T18:46:21.824-0300,2026-03-27T09:09:12.867-0300,Open,In progress,wesley.bomfim
BF3E4-2006,1.1 Staging_CSIProprietarioBR.tb_csiproprietario_metadata,2026-03-10T18:46:20.563-0300,2026-03-27T09:09:10.916-0300,In Test,In progress,wesley.bomfim
BF3E4-2006,1.1 Staging_CSIProprietarioBR.tb_csiproprietario_metadata,2026-03-10T18:46:20.563-0300,2026-03-27T09:09:05.866-0300,To Do,In Test,wesley.bomfim
BF3E4-2006,1.1 Staging_CSIProprietarioBR.tb_csiproprietario_metadata,2026-03-10T18:46:20.563-0300,2026-03-24T17:57:47.903-0300,Open,To Do,marina.bueno
BF3E4-2005,[1] Cloud Function Template - fn_load_gcs_bgq_csiproprietario_metadata,2026-03-10T18:46:19.324-0300,2026-03-26T09:49:02.027-0300,Open,In progress,henrique.damaceno
BF3E4-1919,[2] Views Analíticas,2026-03-10T18:12:57.245-0300,2026-03-25T10:08:16.952-0300,Open,In progress,marina.bueno
BF3E4-1918,1.1 Analytics_Aprovacao.tb_aprovacao_comercial,2026-03-10T18:12:55.856-0300,2026-03-25T10:08:12.838-0300,Open,In progress,marina.bueno
BF3E4-1917,[1] DAG - data-lake-commercial-aprovacao_especial,2026-03-10T18:12:54.416-0300,2026-03-25T10:08:10.345-0300,Open,In progress,marina.bueno
