Chave,Titulo,Data Criacao,Data Mudanca,Status Antigo,Status Novo,Autor
BF3E4-255,vw_flow_padrao_fornecedor,2026-02-25T12:02:00.083-0300,2026-03-27T15:06:39.090-0300,Open,To Do,artur.mariano
BF3E4-254,vw_flow_causais,2026-02-25T12:01:58.213-0300,2026-03-27T15:06:37.420-0300,Open,To Do,artur.mariano
BF3E4-253,Views Analíticas,2026-02-25T12:01:55.993-0300,2026-03-27T15:06:35.483-0300,Open,To Do,artur.mariano
BF3E4-252,Tratativa.tb_flow_padrao_fornecedor | Carga via DataStage - Tabela Flow Padrão Fornecedor - Carga: DELETE/INSERT,2026-02-25T12:01:53.973-0300,2026-03-27T15:06:32.355-0300,Open,To Do,artur.mariano
BF3E4-251,Tratativa.tb_flow_causais | Carga via DataStage - Tabela Flow Causais - Carga: DELETE/INSERT,2026-02-25T12:01:52.063-0300,2026-03-27T15:06:30.706-0300,Open,To Do,artur.mariano
BF3E4-250,Staging.tb_flow_padrao_fornecedor | Carga via DataStage - Tabela Flow Padrão Fornecedor - Carga: DELETE/INSERT,2026-02-25T12:01:50.167-0300,2026-03-27T15:06:29.090-0300,Open,To Do,artur.mariano
BF3E4-249,Staging.tb_flow_causais | Carga via DataStage - Tabela Flow Causais - Carga: DELETE/INSERT,2026-02-25T12:01:48.422-0300,2026-03-27T15:06:27.286-0300,Open,To Do,artur.mariano
BF3E4-248,"SqlSensor: trigger_sucesso_job_ds | SqlSensor, verifica sucesso da execução do job DataStage na tabela de logs",2026-02-25T12:01:46.503-0300,2026-03-27T15:06:25.296-0300,Open,To Do,artur.mariano
BF3E4-247,"DataStage: DTLCompras_Flow_Causais_Seq | SimpleHttpOperator, aciona job sequence no DataStage via API REST",2026-02-25T12:01:44.869-0300,2026-03-27T15:06:22.186-0300,Open,To Do,artur.mariano
BF3E4-246,DAG - data-lake-compras-tratativa-carga-flow-causais,2026-02-25T12:01:43.341-0300,2026-03-27T15:06:19.600-0300,Open,To Do,artur.mariano
BF3E4-6296,[Entidade 9 - COMPRAS][BF3E4-233] Ajustar dados TB_RDA que alimenta a VW_RDA,2026-03-26T10:41:24.913-0300,2026-03-27T15:13:21.842-0300,ISSUE IN ANALYSIS,Canceled,ana.santos22
BF3E4-6296,[Entidade 9 - COMPRAS][BF3E4-233] Ajustar dados TB_RDA que alimenta a VW_RDA,2026-03-26T10:41:24.913-0300,2026-03-26T12:07:09.690-0300,To Do,ISSUE IN ANALYSIS,artur.mariano
BF3E4-6296,[Entidade 9 - COMPRAS][BF3E4-233] Ajustar dados TB_RDA que alimenta a VW_RDA,2026-03-26T10:41:24.913-0300,2026-03-26T12:07:08.196-0300,Open,To Do,artur.mariano
BF3E4-301,vw_atribuicao_interna_unidade_dependente_idioma,2026-03-05T11:37:46.487-0300,2026-03-27T15:08:48.149-0300,In Test,Done,ana.santos22
BF3E4-301,vw_atribuicao_interna_unidade_dependente_idioma,2026-03-05T11:37:46.487-0300,2026-03-27T08:15:36.940-0300,Waiting Test,In Test,ana.santos22
BF3E4-301,vw_atribuicao_interna_unidade_dependente_idioma,2026-03-05T11:37:46.487-0300,2026-03-25T13:52:58.290-0300,In Test,Waiting Test,ana.santos22
BF3E4-301,vw_atribuicao_interna_unidade_dependente_idioma,2026-03-05T11:37:46.487-0300,2026-03-23T14:31:28.263-0300,Waiting Test,In Test,ana.santos22
BF3E4-301,vw_atribuicao_interna_unidade_dependente_idioma,2026-03-05T11:37:46.487-0300,2026-03-19T16:28:47.949-0300,In progress,Waiting Test,artur.mariano
BF3E4-301,vw_atribuicao_interna_unidade_dependente_idioma,2026-03-05T11:37:46.487-0300,2026-03-19T10:29:18.456-0300,Waiting Test,In progress,artur.mariano
BF3E4-301,vw_atribuicao_interna_unidade_dependente_idioma,2026-03-05T11:37:46.487-0300,2026-03-19T10:28:15.208-0300,Open,Waiting Test,artur.mariano
BF3E4-300,vw_nome_pais,2026-03-05T11:37:44.366-0300,2026-03-26T10:36:09.144-0300,Waiting Test,In Test,vanessa.correia
BF3E4-300,vw_nome_pais,2026-03-05T11:37:44.366-0300,2026-03-25T13:52:55.766-0300,In Test,Waiting Test,ana.santos22
BF3E4-300,vw_nome_pais,2026-03-05T11:37:44.366-0300,2026-03-23T14:31:23.953-0300,Waiting Test,In Test,ana.santos22
BF3E4-300,vw_nome_pais,2026-03-05T11:37:44.366-0300,2026-03-19T16:28:46.966-0300,In progress,Waiting Test,artur.mariano
BF3E4-300,vw_nome_pais,2026-03-05T11:37:44.366-0300,2026-03-19T10:29:04.857-0300,Waiting Test,In progress,artur.mariano
BF3E4-300,vw_nome_pais,2026-03-05T11:37:44.366-0300,2026-03-19T10:28:13.262-0300,Open,Waiting Test,artur.mariano
BF3E4-299,vw_planta_filial,2026-03-05T11:37:42.557-0300,2026-03-26T11:15:08.890-0300,Waiting Test,In Test,vanessa.correia
BF3E4-299,vw_planta_filial,2026-03-05T11:37:42.557-0300,2026-03-25T13:52:53.340-0300,In Test,Waiting Test,ana.santos22
BF3E4-299,vw_planta_filial,2026-03-05T11:37:42.557-0300,2026-03-23T14:31:21.963-0300,Waiting Test,In Test,ana.santos22
BF3E4-299,vw_planta_filial,2026-03-05T11:37:42.557-0300,2026-03-19T16:28:45.700-0300,In progress,Waiting Test,artur.mariano
BF3E4-299,vw_planta_filial,2026-03-05T11:37:42.557-0300,2026-03-19T10:29:02.766-0300,Waiting Test,In progress,artur.mariano
BF3E4-299,vw_planta_filial,2026-03-05T11:37:42.557-0300,2026-03-19T10:28:09.909-0300,Open,Waiting Test,artur.mariano
BF3E4-238,vw_explicacao_propria_termo_pagamento,2026-02-25T12:01:22.399-0300,2026-03-27T09:43:14.514-0300,In Test,Done,ana.santos22
BF3E4-238,vw_explicacao_propria_termo_pagamento,2026-02-25T12:01:22.399-0300,2026-03-27T09:43:11.083-0300,Waiting Test,In Test,ana.santos22
BF3E4-238,vw_explicacao_propria_termo_pagamento,2026-02-25T12:01:22.399-0300,2026-03-25T13:52:51.032-0300,In Test,Waiting Test,ana.santos22
BF3E4-238,vw_explicacao_propria_termo_pagamento,2026-02-25T12:01:22.399-0300,2026-03-23T14:31:19.317-0300,Waiting Test,In Test,ana.santos22
BF3E4-238,vw_explicacao_propria_termo_pagamento,2026-02-25T12:01:22.399-0300,2026-03-19T16:28:44.759-0300,In progress,Waiting Test,artur.mariano
BF3E4-238,vw_explicacao_propria_termo_pagamento,2026-02-25T12:01:22.399-0300,2026-03-19T10:29:00.891-0300,Waiting Test,In progress,artur.mariano
BF3E4-238,vw_explicacao_propria_termo_pagamento,2026-02-25T12:01:22.399-0300,2026-03-19T10:28:04.950-0300,Open,Waiting Test,artur.mariano
BF3E4-237,vw_versao_compra,2026-02-25T12:01:19.834-0300,2026-03-27T09:05:07.172-0300,In Test,Done,ana.santos22
BF3E4-237,vw_versao_compra,2026-02-25T12:01:19.834-0300,2026-03-26T11:01:49.303-0300,Waiting Test,In Test,ana.santos22
BF3E4-237,vw_versao_compra,2026-02-25T12:01:19.834-0300,2026-03-25T13:52:48.262-0300,In Test,Waiting Test,ana.santos22
BF3E4-237,vw_versao_compra,2026-02-25T12:01:19.834-0300,2026-03-23T14:31:16.761-0300,Waiting Test,In Test,ana.santos22
BF3E4-237,vw_versao_compra,2026-02-25T12:01:19.834-0300,2026-03-19T16:28:43.036-0300,In progress,Waiting Test,artur.mariano
BF3E4-237,vw_versao_compra,2026-02-25T12:01:19.834-0300,2026-03-19T10:29:19.930-0300,Waiting Test,In progress,artur.mariano
BF3E4-237,vw_versao_compra,2026-02-25T12:01:19.834-0300,2026-03-19T10:29:17.078-0300,In progress,Waiting Test,artur.mariano
BF3E4-237,vw_versao_compra,2026-02-25T12:01:19.834-0300,2026-03-19T10:28:59.222-0300,Waiting Test,In progress,artur.mariano
BF3E4-237,vw_versao_compra,2026-02-25T12:01:19.834-0300,2026-03-19T10:28:07.784-0300,Open,Waiting Test,artur.mariano
BF3E4-235,vw_rda,2026-02-25T12:01:15.152-0300,2026-03-27T15:30:16.990-0300,In Test,Done,ana.santos22
BF3E4-235,vw_rda,2026-02-25T12:01:15.152-0300,2026-03-25T14:58:59.093-0300,Waiting Test,In Test,ana.santos22
BF3E4-235,vw_rda,2026-02-25T12:01:15.152-0300,2026-03-25T13:52:45.393-0300,In Test,Waiting Test,ana.santos22
BF3E4-235,vw_rda,2026-02-25T12:01:15.152-0300,2026-03-23T14:30:47.941-0300,Waiting Test,In Test,ana.santos22
BF3E4-235,vw_rda,2026-02-25T12:01:15.152-0300,2026-03-19T16:38:42.624-0300,In progress,Waiting Test,artur.mariano
BF3E4-235,vw_rda,2026-02-25T12:01:15.152-0300,2026-03-19T16:28:52.208-0300,To Do,In progress,artur.mariano
