Chave,Titulo,Data Criacao,Data Mudanca,Status Antigo,Status Novo,Autor
BF3E4-1532,[FINANCE - 51] Entidade: TPC Integração AWS/Azure via DataStage - Parte 3 - TAMANHO: G,2026-03-06T19:19:45.314-0300,2026-03-20T11:45:14.783-0300,IN REFINEMENT,Refined,willian.santos
BF3E4-1532,[FINANCE - 51] Entidade: TPC Integração AWS/Azure via DataStage - Parte 3 - TAMANHO: G,2026-03-06T19:19:45.314-0300,2026-03-20T11:45:12.024-0300,WAITING REFINEMENT,IN REFINEMENT,willian.santos
BF3E4-1532,[FINANCE - 51] Entidade: TPC Integração AWS/Azure via DataStage - Parte 3 - TAMANHO: G,2026-03-06T19:19:45.314-0300,2026-03-16T16:00:26.659-0300,Open,WAITING REFINEMENT,willian.santos
BF3E4-1529,[FINANCE - 50] Entidade: TPC Integração AWS/Azure via DataStage - Parte 3 - TAMANHO: G,2026-03-06T19:19:29.870-0300,2026-03-20T11:45:01.630-0300,IN REFINEMENT,Refined,willian.santos
BF3E4-1529,[FINANCE - 50] Entidade: TPC Integração AWS/Azure via DataStage - Parte 3 - TAMANHO: G,2026-03-06T19:19:29.870-0300,2026-03-20T11:44:57.973-0300,WAITING REFINEMENT,IN REFINEMENT,willian.santos
BF3E4-1529,[FINANCE - 50] Entidade: TPC Integração AWS/Azure via DataStage - Parte 3 - TAMANHO: G,2026-03-06T19:19:29.870-0300,2026-03-16T16:00:13.645-0300,Open,WAITING REFINEMENT,willian.santos
BF3E4-1526,[FINANCE - 49] Entidade: TPC Integração AWS/Azure via DataStage - Parte 2 - TAMANHO: G,2026-03-06T19:19:17.299-0300,2026-03-20T11:44:37.479-0300,IN REFINEMENT,Refined,willian.santos
BF3E4-1526,[FINANCE - 49] Entidade: TPC Integração AWS/Azure via DataStage - Parte 2 - TAMANHO: G,2026-03-06T19:19:17.299-0300,2026-03-20T11:44:35.000-0300,WAITING REFINEMENT,IN REFINEMENT,willian.santos
BF3E4-1526,[FINANCE - 49] Entidade: TPC Integração AWS/Azure via DataStage - Parte 2 - TAMANHO: G,2026-03-06T19:19:17.299-0300,2026-03-16T15:59:59.617-0300,Open,WAITING REFINEMENT,willian.santos
BF3E4-1518,[FINANCE - 48] Entidade: TPC Integração AWS/Azure via DataStage - Parte 1 - TAMANHO: G,2026-03-06T19:18:58.232-0300,2026-03-20T11:43:52.960-0300,IN REFINEMENT,Refined,willian.santos
BF3E4-1518,[FINANCE - 48] Entidade: TPC Integração AWS/Azure via DataStage - Parte 1 - TAMANHO: G,2026-03-06T19:18:58.232-0300,2026-03-20T11:43:50.231-0300,WAITING REFINEMENT,IN REFINEMENT,willian.santos
BF3E4-1518,[FINANCE - 48] Entidade: TPC Integração AWS/Azure via DataStage - Parte 1 - TAMANHO: G,2026-03-06T19:18:58.232-0300,2026-03-16T15:59:39.760-0300,Open,WAITING REFINEMENT,willian.santos
BF3E4-1502,[FINANCE - 47] Entidade: Vinculação NFe/CTe - TAMANHO: G,2026-03-06T19:18:26.730-0300,2026-03-16T15:56:03.908-0300,IN REFINEMENT,Refined,willian.santos
BF3E4-1502,[FINANCE - 47] Entidade: Vinculação NFe/CTe - TAMANHO: G,2026-03-06T19:18:26.730-0300,2026-03-16T15:56:01.154-0300,WAITING REFINEMENT,IN REFINEMENT,willian.santos
BF3E4-1502,[FINANCE - 47] Entidade: Vinculação NFe/CTe - TAMANHO: G,2026-03-06T19:18:26.730-0300,2026-03-16T15:55:58.555-0300,Open,WAITING REFINEMENT,willian.santos
BF3E4-1483,[FINANCE - 46] Entidade: Análise Malha Fina - TAMANHO: G,2026-03-06T19:17:50.782-0300,2026-03-16T15:55:16.083-0300,IN REFINEMENT,Refined,willian.santos
BF3E4-1483,[FINANCE - 46] Entidade: Análise Malha Fina - TAMANHO: G,2026-03-06T19:17:50.782-0300,2026-03-16T15:55:13.076-0300,WAITING REFINEMENT,IN REFINEMENT,willian.santos
BF3E4-1483,[FINANCE - 46] Entidade: Análise Malha Fina - TAMANHO: G,2026-03-06T19:17:50.782-0300,2026-03-16T15:55:09.817-0300,Open,WAITING REFINEMENT,willian.santos
BF3E4-1464,[FINANCE - 45] Entidade: Análise IPI Rota 20/30 e Apurações - TAMANHO: G,2026-03-06T19:17:08.763-0300,2026-03-16T15:54:22.474-0300,IN REFINEMENT,Refined,willian.santos
BF3E4-1464,[FINANCE - 45] Entidade: Análise IPI Rota 20/30 e Apurações - TAMANHO: G,2026-03-06T19:17:08.763-0300,2026-03-16T15:54:19.994-0300,WAITING REFINEMENT,IN REFINEMENT,willian.santos
