Chave,Titulo,Data Criacao,Data Mudanca,Status Antigo,Status Novo,Autor
BF3E4-760,[MOPAR - 39] Assunto: Click - Parte 6 - TAMANHO: P,2026-03-06T18:26:56.779-0300,2026-03-19T14:02:48.160-0300,IN REFINEMENT,Refined,victor.aguiar
BF3E4-760,[MOPAR - 39] Assunto: Click - Parte 6 - TAMANHO: P,2026-03-06T18:26:56.779-0300,2026-03-19T14:02:45.473-0300,WAITING REFINEMENT,IN REFINEMENT,victor.aguiar
BF3E4-760,[MOPAR - 39] Assunto: Click - Parte 6 - TAMANHO: P,2026-03-06T18:26:56.779-0300,2026-03-19T14:02:42.394-0300,Open,WAITING REFINEMENT,victor.aguiar
BF3E4-746,[MOPAR - 38] Assunto: Click - Parte 6 - TAMANHO: M,2026-03-05T19:15:45.406-0300,2026-03-19T14:00:46.630-0300,IN REFINEMENT,Refined,victor.aguiar
BF3E4-746,[MOPAR - 38] Assunto: Click - Parte 6 - TAMANHO: M,2026-03-05T19:15:45.406-0300,2026-03-19T14:00:44.336-0300,WAITING REFINEMENT,IN REFINEMENT,victor.aguiar
BF3E4-746,[MOPAR - 38] Assunto: Click - Parte 6 - TAMANHO: M,2026-03-05T19:15:45.406-0300,2026-03-19T14:00:42.115-0300,Open,WAITING REFINEMENT,victor.aguiar
BF3E4-733,[MOPAR - 37] Assunto: Click - Parte 5 (Produtos e Estatísticas) - TAMANHO: G,2026-03-05T19:14:53.325-0300,2026-03-19T14:00:34.126-0300,IN REFINEMENT,Refined,victor.aguiar
BF3E4-733,[MOPAR - 37] Assunto: Click - Parte 5 (Produtos e Estatísticas) - TAMANHO: G,2026-03-05T19:14:53.325-0300,2026-03-19T14:00:32.259-0300,WAITING REFINEMENT,IN REFINEMENT,victor.aguiar
BF3E4-733,[MOPAR - 37] Assunto: Click - Parte 5 (Produtos e Estatísticas) - TAMANHO: G,2026-03-05T19:14:53.325-0300,2026-03-19T14:00:30.038-0300,Open,WAITING REFINEMENT,victor.aguiar
BF3E4-721,[MOPAR - 36] Assunto: Click - Parte 5 (Produtos e Estatísticas) - TAMANHO: G,2026-03-05T19:14:10.281-0300,2026-03-19T14:00:07.008-0300,IN REFINEMENT,Refined,victor.aguiar
BF3E4-721,[MOPAR - 36] Assunto: Click - Parte 5 (Produtos e Estatísticas) - TAMANHO: G,2026-03-05T19:14:10.281-0300,2026-03-19T14:00:03.400-0300,WAITING REFINEMENT,IN REFINEMENT,victor.aguiar
BF3E4-721,[MOPAR - 36] Assunto: Click - Parte 5 (Produtos e Estatísticas) - TAMANHO: G,2026-03-05T19:14:10.281-0300,2026-03-19T14:00:01.492-0300,Open,WAITING REFINEMENT,victor.aguiar
BF3E4-721,[MOPAR - 36] Assunto: Click - Parte 5 (Produtos e Estatísticas) - TAMANHO: G,2026-03-05T19:14:10.281-0300,2026-03-19T13:59:59.161-0300,WAITING REFINEMENT,Open,victor.aguiar
BF3E4-721,[MOPAR - 36] Assunto: Click - Parte 5 (Produtos e Estatísticas) - TAMANHO: G,2026-03-05T19:14:10.281-0300,2026-03-19T13:59:56.807-0300,Open,WAITING REFINEMENT,victor.aguiar
BF3E4-709,[MOPAR - 35] Assunto: Click - Parte 4 (Produtos e Estatísticas) - TAMANHO: G,2026-03-05T19:13:37.034-0300,2026-03-19T13:59:01.869-0300,IN REFINEMENT,Refined,victor.aguiar
BF3E4-709,[MOPAR - 35] Assunto: Click - Parte 4 (Produtos e Estatísticas) - TAMANHO: G,2026-03-05T19:13:37.034-0300,2026-03-19T13:58:59.721-0300,WAITING REFINEMENT,IN REFINEMENT,victor.aguiar
BF3E4-709,[MOPAR - 35] Assunto: Click - Parte 4 (Produtos e Estatísticas) - TAMANHO: G,2026-03-05T19:13:37.034-0300,2026-03-19T13:58:57.217-0300,Open,WAITING REFINEMENT,victor.aguiar
BF3E4-695,"[MOPAR - 34] Assunto: Click - Parte 3 (Transporte, Viagens e Volumes) - TAMANHO: G",2026-03-05T19:13:07.148-0300,2026-03-19T13:57:42.258-0300,IN REFINEMENT,Refined,victor.aguiar
BF3E4-695,"[MOPAR - 34] Assunto: Click - Parte 3 (Transporte, Viagens e Volumes) - TAMANHO: G",2026-03-05T19:13:07.148-0300,2026-03-19T13:57:40.171-0300,WAITING REFINEMENT,IN REFINEMENT,victor.aguiar
BF3E4-695,"[MOPAR - 34] Assunto: Click - Parte 3 (Transporte, Viagens e Volumes) - TAMANHO: G",2026-03-05T19:13:07.148-0300,2026-03-19T13:57:37.584-0300,Open,WAITING REFINEMENT,victor.aguiar
BF3E4-681,"[MOPAR - 33] Assunto: Click - Parte 2 (Pedidos, Notas e Faturamento) - TAMANHO: G",2026-03-05T19:12:29.707-0300,2026-03-19T13:57:14.573-0300,IN REFINEMENT,Refined,victor.aguiar
