Chave,Titulo,Data Criacao,Data Mudanca,Status Antigo,Status Novo,Autor
BF3E4-3800,[RH - 72] Entidade: External Tables - Lote 3 - TAMANHO: P,2026-03-11T12:46:34.073-0300,2026-03-20T10:22:23.945-0300,IN REFINEMENT,Refined,italo.siqueira
BF3E4-3800,[RH - 72] Entidade: External Tables - Lote 3 - TAMANHO: P,2026-03-11T12:46:34.073-0300,2026-03-20T10:22:21.558-0300,WAITING REFINEMENT,IN REFINEMENT,italo.siqueira
BF3E4-3800,[RH - 72] Entidade: External Tables - Lote 3 - TAMANHO: P,2026-03-11T12:46:34.073-0300,2026-03-20T10:22:16.045-0300,Open,WAITING REFINEMENT,italo.siqueira
BF3E4-3793,[RH - 71] Entidade: External Tables - Lote 2 - TAMANHO: G,2026-03-11T12:46:20.895-0300,2026-03-20T10:21:26.204-0300,IN REFINEMENT,Refined,italo.siqueira
BF3E4-3793,[RH - 71] Entidade: External Tables - Lote 2 - TAMANHO: G,2026-03-11T12:46:20.895-0300,2026-03-20T10:21:22.809-0300,WAITING REFINEMENT,IN REFINEMENT,italo.siqueira
BF3E4-3793,[RH - 71] Entidade: External Tables - Lote 2 - TAMANHO: G,2026-03-11T12:46:20.895-0300,2026-03-20T10:21:19.570-0300,Open,WAITING REFINEMENT,italo.siqueira
BF3E4-3785,[RH - 70] Entidade: External Tables - Lote 1 - TAMANHO: G,2026-03-11T12:46:05.713-0300,2026-03-20T10:20:32.873-0300,IN REFINEMENT,Refined,italo.siqueira
BF3E4-3785,[RH - 70] Entidade: External Tables - Lote 1 - TAMANHO: G,2026-03-11T12:46:05.713-0300,2026-03-20T10:20:25.767-0300,WAITING REFINEMENT,IN REFINEMENT,italo.siqueira
BF3E4-3785,[RH - 70] Entidade: External Tables - Lote 1 - TAMANHO: G,2026-03-11T12:46:05.713-0300,2026-03-20T10:20:21.678-0300,Open,WAITING REFINEMENT,italo.siqueira
BF3E4-3779,[RH - 69] Entidade: Talent_Acquisition - Lote 1 - TAMANHO: P,2026-03-11T12:45:53.721-0300,2026-03-20T10:18:31.174-0300,IN REFINEMENT,Refined,italo.siqueira
