Chave,Titulo,Data Criacao,Data Mudanca,Status Antigo,Status Novo,Autor
BF3E4-4685,[SUPPLY CHAIN - 85] Entidade: KPIs de Vendas e Produção - TAMANHO: M,2026-03-12T18:23:50.807-0300,2026-03-19T10:59:17.460-0300,IN REFINEMENT,Refined,roger.ramos
BF3E4-4685,[SUPPLY CHAIN - 85] Entidade: KPIs de Vendas e Produção - TAMANHO: M,2026-03-12T18:23:50.807-0300,2026-03-19T10:59:15.078-0300,WAITING REFINEMENT,IN REFINEMENT,roger.ramos
BF3E4-4685,[SUPPLY CHAIN - 85] Entidade: KPIs de Vendas e Produção - TAMANHO: M,2026-03-12T18:23:50.807-0300,2026-03-19T10:59:12.032-0300,Open,WAITING REFINEMENT,roger.ramos
BF3E4-4674,[SUPPLY CHAIN - 84] Entidade: Estoque OEM e Dealer - TAMANHO: G,2026-03-12T18:23:30.152-0300,2026-03-19T10:59:06.057-0300,IN REFINEMENT,Refined,roger.ramos
BF3E4-4674,[SUPPLY CHAIN - 84] Entidade: Estoque OEM e Dealer - TAMANHO: G,2026-03-12T18:23:30.152-0300,2026-03-19T10:59:03.900-0300,WAITING REFINEMENT,IN REFINEMENT,roger.ramos
BF3E4-4674,[SUPPLY CHAIN - 84] Entidade: Estoque OEM e Dealer - TAMANHO: G,2026-03-12T18:23:30.152-0300,2026-03-19T10:58:58.361-0300,Open,WAITING REFINEMENT,roger.ramos
BF3E4-4666,[SUPPLY CHAIN - 83] Entidade: Indicadores FCO - TAMANHO: M,2026-03-12T18:23:10.356-0300,2026-03-19T10:58:45.357-0300,IN REFINEMENT,Refined,roger.ramos
BF3E4-4666,[SUPPLY CHAIN - 83] Entidade: Indicadores FCO - TAMANHO: M,2026-03-12T18:23:10.356-0300,2026-03-19T10:58:42.880-0300,WAITING REFINEMENT,IN REFINEMENT,roger.ramos
BF3E4-4666,[SUPPLY CHAIN - 83] Entidade: Indicadores FCO - TAMANHO: M,2026-03-12T18:23:10.356-0300,2026-03-19T10:58:40.194-0300,Open,WAITING REFINEMENT,roger.ramos
BF3E4-4660,[SUPPLY CHAIN - 82] Entidade: Eventos e Pedidos Comerciais - TAMANHO: P,2026-03-12T18:22:58.945-0300,2026-03-19T10:58:32.201-0300,IN REFINEMENT,Refined,roger.ramos
BF3E4-4660,[SUPPLY CHAIN - 82] Entidade: Eventos e Pedidos Comerciais - TAMANHO: P,2026-03-12T18:22:58.945-0300,2026-03-19T10:58:29.903-0300,WAITING REFINEMENT,IN REFINEMENT,roger.ramos
BF3E4-4660,[SUPPLY CHAIN - 82] Entidade: Eventos e Pedidos Comerciais - TAMANHO: P,2026-03-12T18:22:58.945-0300,2026-03-19T10:58:27.110-0300,Open,WAITING REFINEMENT,roger.ramos
BF3E4-4650,[SUPPLY CHAIN - 81] Entidade: Stock History Regional - TAMANHO: M,2026-03-12T18:22:42.245-0300,2026-03-19T10:57:51.050-0300,IN REFINEMENT,Refined,roger.ramos
BF3E4-4650,[SUPPLY CHAIN - 81] Entidade: Stock History Regional - TAMANHO: M,2026-03-12T18:22:42.245-0300,2026-03-19T10:57:48.877-0300,WAITING REFINEMENT,IN REFINEMENT,roger.ramos
BF3E4-4650,[SUPPLY CHAIN - 81] Entidade: Stock History Regional - TAMANHO: M,2026-03-12T18:22:42.245-0300,2026-03-19T10:57:42.294-0300,Open,WAITING REFINEMENT,roger.ramos
BF3E4-4644,[SUPPLY CHAIN - 80] Entidade: Views NAFTA - Dimensões Veículos e Produtos - TAMANHO: M,2026-03-12T18:22:31.112-0300,2026-03-19T10:57:31.605-0300,IN REFINEMENT,Refined,roger.ramos
BF3E4-4644,[SUPPLY CHAIN - 80] Entidade: Views NAFTA - Dimensões Veículos e Produtos - TAMANHO: M,2026-03-12T18:22:31.112-0300,2026-03-19T10:57:29.001-0300,WAITING REFINEMENT,IN REFINEMENT,roger.ramos
BF3E4-4644,[SUPPLY CHAIN - 80] Entidade: Views NAFTA - Dimensões Veículos e Produtos - TAMANHO: M,2026-03-12T18:22:31.112-0300,2026-03-19T10:57:14.670-0300,Open,WAITING REFINEMENT,roger.ramos
BF3E4-4635,[SUPPLY CHAIN - 79] Entidade: Views Planejamento - Budget Forecast e Estimativas - TAMANHO: M,2026-03-12T18:22:15.138-0300,2026-03-19T10:57:09.576-0300,IN REFINEMENT,Refined,roger.ramos
BF3E4-4635,[SUPPLY CHAIN - 79] Entidade: Views Planejamento - Budget Forecast e Estimativas - TAMANHO: M,2026-03-12T18:22:15.138-0300,2026-03-19T10:57:07.330-0300,WAITING REFINEMENT,IN REFINEMENT,roger.ramos
BF3E4-4635,[SUPPLY CHAIN - 79] Entidade: Views Planejamento - Budget Forecast e Estimativas - TAMANHO: M,2026-03-12T18:22:15.138-0300,2026-03-19T10:57:04.895-0300,Open,WAITING REFINEMENT,roger.ramos
BF3E4-4628,[SUPPLY CHAIN - 78] Entidade: Wholesales NAFTA ROL - Carga Delta e Views - TAMANHO: P,2026-03-12T18:22:03.144-0300,2026-03-19T10:56:38.286-0300,IN REFINEMENT,Refined,roger.ramos
BF3E4-4628,[SUPPLY CHAIN - 78] Entidade: Wholesales NAFTA ROL - Carga Delta e Views - TAMANHO: P,2026-03-12T18:22:03.144-0300,2026-03-19T10:56:36.039-0300,WAITING REFINEMENT,IN REFINEMENT,roger.ramos
BF3E4-4628,[SUPPLY CHAIN - 78] Entidade: Wholesales NAFTA ROL - Carga Delta e Views - TAMANHO: P,2026-03-12T18:22:03.144-0300,2026-03-19T10:56:33.214-0300,Open,WAITING REFINEMENT,roger.ramos
BF3E4-4621,[SUPPLY CHAIN - 77] Entidade: Consolidação Principal - tb_actual e View Base - TAMANHO: P,2026-03-12T18:21:45.285-0300,2026-03-19T10:56:14.441-0300,IN REFINEMENT,Refined,roger.ramos
BF3E4-4621,[SUPPLY CHAIN - 77] Entidade: Consolidação Principal - tb_actual e View Base - TAMANHO: P,2026-03-12T18:21:45.285-0300,2026-03-19T10:56:11.977-0300,WAITING REFINEMENT,IN REFINEMENT,roger.ramos
BF3E4-4621,[SUPPLY CHAIN - 77] Entidade: Consolidação Principal - tb_actual e View Base - TAMANHO: P,2026-03-12T18:21:45.285-0300,2026-03-19T10:56:09.668-0300,Open,WAITING REFINEMENT,roger.ramos
BF3E4-4612,[SUPPLY CHAIN - 76] Entidade: Carga Física Wholesales e Planejamento - TAMANHO: M,2026-03-12T18:21:26.465-0300,2026-03-19T10:56:04.739-0300,IN REFINEMENT,Refined,roger.ramos
BF3E4-4612,[SUPPLY CHAIN - 76] Entidade: Carga Física Wholesales e Planejamento - TAMANHO: M,2026-03-12T18:21:26.465-0300,2026-03-19T10:56:02.638-0300,WAITING REFINEMENT,IN REFINEMENT,roger.ramos
BF3E4-4612,[SUPPLY CHAIN - 76] Entidade: Carga Física Wholesales e Planejamento - TAMANHO: M,2026-03-12T18:21:26.465-0300,2026-03-19T10:55:59.561-0300,Open,WAITING REFINEMENT,roger.ramos
BF3E4-4606,[SUPPLY CHAIN - 75] Entidade: Carga Física Retail e Volume Argentina - TAMANHO: P,2026-03-12T18:21:11.855-0300,2026-03-19T10:55:47.684-0300,IN REFINEMENT,Refined,roger.ramos
BF3E4-4606,[SUPPLY CHAIN - 75] Entidade: Carga Física Retail e Volume Argentina - TAMANHO: P,2026-03-12T18:21:11.855-0300,2026-03-19T10:55:45.689-0300,WAITING REFINEMENT,IN REFINEMENT,roger.ramos
BF3E4-4606,[SUPPLY CHAIN - 75] Entidade: Carga Física Retail e Volume Argentina - TAMANHO: P,2026-03-12T18:21:11.855-0300,2026-03-19T10:55:42.581-0300,Open,WAITING REFINEMENT,roger.ramos
BF3E4-4597,"[SUPPLY CHAIN - 74] Entidade: Carga Física Stocks - Dealer, OEM e Viajantes - TAMANHO: M",2026-03-12T18:20:51.966-0300,2026-03-19T10:55:20.692-0300,IN REFINEMENT,Refined,roger.ramos
BF3E4-4597,"[SUPPLY CHAIN - 74] Entidade: Carga Física Stocks - Dealer, OEM e Viajantes - TAMANHO: M",2026-03-12T18:20:51.966-0300,2026-03-19T10:54:50.537-0300,WAITING REFINEMENT,IN REFINEMENT,roger.ramos
BF3E4-4597,"[SUPPLY CHAIN - 74] Entidade: Carga Física Stocks - Dealer, OEM e Viajantes - TAMANHO: M",2026-03-12T18:20:51.966-0300,2026-03-19T10:54:36.072-0300,Open,WAITING REFINEMENT,roger.ramos
BF3E4-4597,"[SUPPLY CHAIN - 74] Entidade: Carga Física Stocks - Dealer, OEM e Viajantes - TAMANHO: M",2026-03-12T18:20:51.966-0300,2026-03-19T10:54:32.596-0300,Canceled,Open,roger.ramos
BF3E4-4597,"[SUPPLY CHAIN - 74] Entidade: Carga Física Stocks - Dealer, OEM e Viajantes - TAMANHO: M",2026-03-12T18:20:51.966-0300,2026-03-19T10:54:28.759-0300,WAITING REFINEMENT,Canceled,roger.ramos
BF3E4-4597,"[SUPPLY CHAIN - 74] Entidade: Carga Física Stocks - Dealer, OEM e Viajantes - TAMANHO: M",2026-03-12T18:20:51.966-0300,2026-03-19T10:54:25.961-0300,Open,WAITING REFINEMENT,roger.ramos
BF3E4-4589,[SUPPLY CHAIN - 73] Entidade: Carga Física Delivery EMEA e NAFTA - TAMANHO: M,2026-03-12T18:20:34.561-0300,2026-03-19T10:54:19.615-0300,IN REFINEMENT,Refined,roger.ramos
BF3E4-4589,[SUPPLY CHAIN - 73] Entidade: Carga Física Delivery EMEA e NAFTA - TAMANHO: M,2026-03-12T18:20:34.561-0300,2026-03-19T10:54:16.839-0300,WAITING REFINEMENT,IN REFINEMENT,roger.ramos
BF3E4-4589,[SUPPLY CHAIN - 73] Entidade: Carga Física Delivery EMEA e NAFTA - TAMANHO: M,2026-03-12T18:20:34.561-0300,2026-03-19T10:54:08.817-0300,Open,WAITING REFINEMENT,roger.ramos
