Chave,Titulo,Data Criacao,Data Mudanca,Status Antigo,Status Novo,Autor
BF3E4-6039,[Comercial] Dependências,2026-03-18T11:02:30.481-0300,2026-03-20T17:45:34.825-0300,Open,Done,marina.bueno
BF3E4-6038,[Supply Chain] Dependências,2026-03-18T11:01:47.162-0300,2026-03-23T12:11:30.763-0300,Open,Done,bruno.teles
BF3E4-6037,[Finance] Dependências,2026-03-18T11:01:18.464-0300,2026-03-20T16:01:19.699-0300,Open,Done,gerson.ramos
BF3E4-6036,[RH] Dependências,2026-03-18T11:00:52.476-0300,2026-03-20T15:50:02.934-0300,Open,Done,italo.siqueira
BF3E4-6035,[Shared Services] Dependências,2026-03-18T11:00:20.242-0300,2026-03-19T13:34:19.238-0300,In progress,Done,fabio.bastos
BF3E4-6035,[Shared Services] Dependências,2026-03-18T11:00:20.242-0300,2026-03-19T11:44:20.025-0300,Open,In progress,fabio.bastos
BF3E4-6034,[Cliente] Dependências,2026-03-18T10:59:00.529-0300,2026-03-20T18:13:21.050-0300,Open,Done,willian.santos
BF3E4-6033,[Mopar] Depenências,2026-03-18T10:58:02.976-0300,2026-03-20T17:05:37.266-0300,Open,Done,willian.santos
BF3E4-6032,[BMC] Dependências,2026-03-18T10:56:25.685-0300,2026-03-20T15:10:03.450-0300,Open,Done,marina.bueno
BF3E4-1570,[Compras] Dependências,2026-03-09T11:24:51.541-0300,2026-03-20T15:00:31.711-0300,Open,Done,maite.willig
BF3E4-316,Acesso dos DEVs ao board do Jira,2026-03-05T17:20:23.671-0300,2026-03-24T15:22:47.350-0300,Open,Done,henrique.damaceno
